date,action,ticker,price,note,analyst
2024-11-10,SELL,SMCI,263.84,,Knox Ridley
2024-11-10,SELL,NVDA,481.27,,Knox Ridley
2024-11-10,SELL,MSFT,369.12,,Knox Ridley
2024-11-03,SELL,TQQQ,37.6,,Knox Ridley
2024-11-02,SELL,TQQQ,36.26,,Knox Ridley
2024-10-25,BUY,TQQQ,33.52,,Knox Ridley
2024-10-25,BUY,TQQQ,33.85,,Knox Ridley
2024-10-24,BUY,LINKUSD,10.89,,Knox Ridley
2024-10-23,BUY,BTCUSD,33247.26,,Knox Ridley
2024-10-23,BUY,NET,58.12,,Knox Ridley
2024-10-23,BUY,NFLX,400.72,,Knox Ridley
2024-10-23,SELL,TSM,92.28,,Knox Ridley
2024-10-20,SELL,ENPH,102.04,,Knox Ridley
2024-10-19,BUY,NFLX,398.04,,Knox Ridley
2024-10-18,BUY,QLD,61.41,,Knox Ridley
2024-10-13,BUY,AEHR,38.56,,Knox Ridley
2024-10-12,BUY,CRWD,160.98,,Knox Ridley
2024-10-03,BUY,AMD,96.15,,Knox Ridley
2024-09-26,BUY,ENPH,119.81,,Knox Ridley
2024-09-22,BUY,CRWD,162.65,,Knox Ridley
2024-09-22,BUY,CRWD,165.14,,Knox Ridley
2024-09-19,SELL,TSLA,263.49,,Knox Ridley
2024-09-08,SELL,NVDA,454.2,,Knox Ridley
2024-09-08,SELL,SMCI,280.46,,Knox Ridley
2024-08-31,SELL,GOOGL,136.8,,Knox Ridley
2024-08-30,BUY,MRVL,54.48,,Knox Ridley
2024-08-25,BUY,AMD,102.88,,Knox Ridley
2024-08-23,BUY,MSFT,313.97,,Knox Ridley
2023-08-16,BUY,SMCI,252.56,,Knox Ridley
2023-08-16,BUY,AEHR,42.02,,Knox Ridley
2023-08-10,BUY,SMCI,271.51,,Knox Ridley
2023-08-09,BUY,NVDA,426.98,,Knox Ridley
2023-08-09,BUY,AMD,110.08,,Knox Ridley
2023-07-21,SELL,TSLA,263.45,,Knox Ridley
2023-07-20,SELL,NFLX,448.68,,Knox Ridley
2023-07-12,BUY,AEHR,39.66,,Knox Ridley
2023-06-30,BUY,AEHR,41.73,,Knox Ridley
2023-06-30,BUY,GOOGL,119.47,,Knox Ridley
2023-06-28,BUY,NVDA,410.02,,Knox Ridley
2023-06-28,BUY,AMD,110.78,,Knox Ridley
2023-06-23,BUY,SMCI,217.3,,Knox Ridley
2023-06-23,BUY,MRVL,56.9,,Knox Ridley
2023-06-21,BUY,AMD,112.89,,Knox Ridley
2023-06-09,SELL,ENPH,178.98,,Knox Ridley
2023-06-08,BUY,NFLX,408.17,,Knox Ridley
2023-05-31,BUY,BTCUSD,26413.0,,Knox Ridley
2023-04-26,SELL,META,225.37,,Knox Ridley
2023-04-25,SELL,TSM,83.25,,Knox Ridley
2023-04-25,SELL,AEHR,25.32,,Knox Ridley
2023-04-20,SELL,TSLA,163.06,,Knox Ridley
2023-04-20,SELL,NFLX,226.89,,Knox Ridley
2023-04-19,SELL,TSLA,173.52,,Knox Ridley
2023-04-18,BUY,LINKUSD,8.68,,Knox Ridley
2023-04-17,BUY,ENPH,225.31,,Knox Ridley
2023-04-14,BUY,ETHUSD,2072.0,,Knox Ridley
2023-04-14,SELL,AEHR,28.48,,Knox Ridley
2023-04-13,SELL,NVDA,266.9,,Knox Ridley
2023-04-05,SELL,AMD,92.16,,Knox Ridley
2023-04-05,BUY,ENPH,189.91,,Knox Ridley
2023-04-04,SELL,MGNI,9.26,,Knox Ridley
2023-04-03,BUY,TSLA,195.2,,Knox Ridley
2023-03-31,BUY,BTCUSD,28586.0,,Knox Ridley
2023-03-24,BUY,BTCUSD,27719.0,,Knox Ridley
2023-03-24,SELL,NVDA,266.44,,Knox Ridley
2023-03-23,BUY,AEHR,38.86,,Knox Ridley
2023-03-23,BUY,ETHUSD,1848.2,,Knox Ridley
2023-03-22,BUY,ENPH,201.28,,Knox Ridley
2023-03-15,BUY,NFLX,303.01,,Knox Ridley
2023-03-15,SELL,NVDA,240.54,,Knox Ridley
2023-03-14,SELL,BTCUSD/ETHUSD,24340.0,,Knox Ridley
2023-03-09,SELL,AEHR,29.14,,Knox Ridley
2023-03-01,SELL,AEHR,35.41,,Knox Ridley
2023-02-28,BUY,ENPH,212.21,,Knox Ridley
2023-02-28,SELL,TSM,87.8,,Knox Ridley
2023-02-24,SELL,NVDA,237.81,,Knox Ridley
2023-02-22,SELL,MGNI,13.69,,Knox Ridley
